Class,Start,End,Length,Date,File,Selection
Unknown,182.5647373,182.9533641,0.388626816,7/5/2018,2018-07-05T142500_0004e9e500057018_2.0.wav,1
Unknown,168.5347736,168.9355222,0.400748609,7/5/2018,2018-07-05T143000_0004e9e500057018_2.0.wav,1
Unknown,85.05329194,85.25458568,0.201293743,7/5/2018,2018-07-05T145000_0004e9e500057018_2.0.wav,1
Opsanus_beta,220.6408818,220.7651762,0.124294451,7/5/2018,2018-07-05T145500_0004e9e500057018_2.0.wav,1
Bairdiella_chrysoura,259.3535542,259.9335949,0.580040771,7/5/2018,2018-07-05T145500_0004e9e500057018_2.0.wav,3
Cynoscion_nebulosus,75.88525608,77.08913342,1.203877336,7/5/2018,2018-07-05T150500_0004e9e500057018_2.0.wav,1
Cynoscion_nebulosus,23.88928451,25.46180485,1.572520339,7/5/2018,2018-07-05T151500_0004e9e500057018_2.0.wav,1
Opsanus_beta,258.0750568,259.4840781,1.409021327,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,1
Opsanus_beta,259.9391319,260.159553,0.220421158,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,2
Opsanus_beta,260.6087658,260.7454827,0.136716921,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,3
Opsanus_beta,261.8039697,261.9155753,0.11160565,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,4
Opsanus_beta,263.0706899,263.1934561,0.122766214,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,5
Opsanus_beta,264.4041581,264.5297145,0.125556356,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,6
Opsanus_beta,266.7676685,266.8736938,0.106025367,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,7
Opsanus_beta,268.3697491,268.4785646,0.108815508,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,8
Opsanus_beta,269.8317831,269.9712901,0.139507062,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,9
Opsanus_beta,270.2429573,270.3629334,0.119976073,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,10
Opsanus_beta,270.731232,270.8372574,0.106025367,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,11
Opsanus_beta,271.7217321,271.8249674,0.103235226,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,12
Opsanus_beta,272.7878449,272.8854998,0.097654943,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,13
Opsanus_beta,275.1787547,275.265249,0.086494378,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,14
Opsanus_beta,277.7847466,277.9158832,0.131136638,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,15
Opsanus_beta,279.9778351,280.0726999,0.094864802,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,16
Opsanus_beta,281.4096991,281.4961934,0.086494379,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,17
Opsanus_beta,282.4922739,282.5703978,0.078123955,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,18
Opsanus_beta,282.930326,283.0224007,0.092074661,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,19
Opsanus_beta,286.6970542,286.8198205,0.122766215,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,20
Opsanus_beta,288.1776153,288.2696899,0.092074661,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,21
Opsanus_beta,290.7128677,290.7909917,0.078123954,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,22
Opsanus_beta,292.3892226,292.5231494,0.133926779,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,23
Opsanus_beta,292.8244847,292.910979,0.086494378,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,24
Opsanus_beta,294.7438786,294.9112871,0.167408474,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav,25
Opsanus_beta,16.02646856,16.09167221,0.065203647,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav,1
Opsanus_beta,21.00368024,21.09424086,0.09056062,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav,2
Opsanus_beta,23.92697705,24.0211601,0.094183045,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav,3
Opsanus_beta,26.34313439,26.41196046,0.068826071,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav,4
Opsanus_beta,28.76291416,28.84260751,0.079693346,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav,5
Opsanus_beta,30.61397323,30.6827993,0.068826071,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav,6
Opsanus_beta,32.93594753,33.02288572,0.086938195,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav,7
Opsanus_beta,37.24663304,37.32994881,0.08331577,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav,8
Opsanus_beta,43.90464983,44.00970014,0.105050319,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav,9
Opsanus_beta,46.99926697,47.09707244,0.09780547,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav,10
Opsanus_beta,49.165477,49.24517035,0.079693346,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav,11
Opsanus_beta,55.97629026,56.06685088,0.09056062,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav,12
Opsanus_beta,59.04999892,59.11882499,0.068826071,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav,13
Opsanus_beta,104.6675887,104.7047296,0.037140897,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav,14
