Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Sound Type,Auditor,Length,Location,Date,File
1,Spectrogram 1,1,182.5647373,182.9533641,0,636.4,U,HN,0.388626816,LBK,7/5/2018,2018-07-05T142500_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,168.5347736,168.9355222,0,3473.4,U,HN,0.400748609,LBK,7/5/2018,2018-07-05T143000_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,85.05329194,85.25458568,0,3992.3,U,HN,0.201293743,LBK,7/5/2018,2018-07-05T145000_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,220.6408818,220.7651762,0,1345.2,T,HN,0.124294451,LBK,7/5/2018,2018-07-05T145500_0004e9e500057018_2.0.wav
3,Spectrogram 1,1,259.3535542,259.9335949,0,3610.9,P,HN,0.580040771,LBK,7/5/2018,2018-07-05T145500_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,75.88525608,77.08913342,0,1603.6,O,HN,1.203877336,LBK,7/5/2018,2018-07-05T150500_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,23.88928451,25.46180485,0,933.1,O,HN,1.572520339,LBK,7/5/2018,2018-07-05T151500_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,258.0750568,259.4840781,0,1721,T,HN,1.409021327,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
2,Spectrogram 1,1,259.9391319,260.159553,0,1290.7,T,HN,0.220421158,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
3,Spectrogram 1,1,260.6087658,260.7454827,0,1505.9,T,HN,0.136716921,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
4,Spectrogram 1,1,261.8039697,261.9155753,0,1721,T,HN,0.11160565,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
5,Spectrogram 1,1,263.0706899,263.1934561,0,2043.7,T,HN,0.122766214,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
6,Spectrogram 1,1,264.4041581,264.5297145,0,1936.1,T,HN,0.125556356,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
7,Spectrogram 1,1,266.7676685,266.8736938,0,1721,T,HN,0.106025367,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
8,Spectrogram 1,1,268.3697491,268.4785646,0,1721,T,HN,0.108815508,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
9,Spectrogram 1,1,269.8317831,269.9712901,0,2043.7,T,HN,0.139507062,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
10,Spectrogram 1,1,270.2429573,270.3629334,0,2151.2,T,HN,0.119976073,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
11,Spectrogram 1,1,270.731232,270.8372574,0,1290.7,T,HN,0.106025367,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
12,Spectrogram 1,1,271.7217321,271.8249674,0,1505.9,T,HN,0.103235226,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
13,Spectrogram 1,1,272.7878449,272.8854998,0,1290.7,T,HN,0.097654943,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
14,Spectrogram 1,1,275.1787547,275.265249,0,1613.4,T,HN,0.086494378,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
15,Spectrogram 1,1,277.7847466,277.9158832,0,1290.7,T,HN,0.131136638,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
16,Spectrogram 1,1,279.9778351,280.0726999,0,1075.6,T,HN,0.094864802,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
17,Spectrogram 1,1,281.4096991,281.4961934,0,1183.2,T,HN,0.086494379,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
18,Spectrogram 1,1,282.4922739,282.5703978,215.1,1183.2,T,HN,0.078123955,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
19,Spectrogram 1,1,282.930326,283.0224007,0,1075.6,T,HN,0.092074661,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
20,Spectrogram 1,1,286.6970542,286.8198205,0,1721,T,HN,0.122766215,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
21,Spectrogram 1,1,288.1776153,288.2696899,0,2151.2,T,HN,0.092074661,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
22,Spectrogram 1,1,290.7128677,290.7909917,0,1936.1,T,HN,0.078123954,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
23,Spectrogram 1,1,292.3892226,292.5231494,0,3442,T,HN,0.133926779,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
24,Spectrogram 1,1,292.8244847,292.910979,0,1936.1,T,HN,0.086494378,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
25,Spectrogram 1,1,294.7438786,294.9112871,0,1613.4,T,HN,0.167408474,LBK,7/5/2018,2018-07-05T152500_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,16.02646856,16.09167221,0,1743.5,T,HN,0.065203647,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
2,Spectrogram 1,1,21.00368024,21.09424086,0,1640.9,T,HN,0.09056062,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
3,Spectrogram 1,1,23.92697705,24.0211601,0,2051.2,T,HN,0.094183045,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
4,Spectrogram 1,1,26.34313439,26.41196046,0,1640.9,T,HN,0.068826071,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
5,Spectrogram 1,1,28.76291416,28.84260751,0,1640.9,T,HN,0.079693346,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
6,Spectrogram 1,1,30.61397323,30.6827993,0,1640.9,T,HN,0.068826071,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
7,Spectrogram 1,1,32.93594753,33.02288572,0,1640.9,T,HN,0.086938195,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
8,Spectrogram 1,1,37.24663304,37.32994881,0,1640.9,T,HN,0.08331577,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
9,Spectrogram 1,1,43.90464983,44.00970014,0,1948.6,T,HN,0.105050319,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
10,Spectrogram 1,1,46.99926697,47.09707244,0,1640.9,T,HN,0.09780547,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
11,Spectrogram 1,1,49.165477,49.24517035,0,1640.9,T,HN,0.079693346,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
12,Spectrogram 1,1,55.97629026,56.06685088,0,1333.3,T,HN,0.09056062,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
13,Spectrogram 1,1,59.04999892,59.11882499,0,1435.8,T,HN,0.068826071,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
14,Spectrogram 1,1,104.6675887,104.7047296,0,2051.2,T,HN,0.037140897,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
15,Spectrogram 1,1,108.5875227,108.6413129,0,2871.6,T,HN,0.053790264,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
16,Spectrogram 1,1,109.5698353,109.640275,0,1435.8,T,HN,0.070439631,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
17,Spectrogram 1,1,115.2229359,115.2741648,0,1640.9,T,HN,0.051228823,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
18,Spectrogram 1,1,119.5825088,119.6247725,0,1846,T,HN,0.042263778,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
19,Spectrogram 1,1,125.4776655,125.5301751,0,2358.8,T,HN,0.052509543,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
20,Spectrogram 1,1,131.8185131,131.8812684,0,1846,T,HN,0.062755308,LBK,7/5/2018,2018-07-05T153000_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,47.21791081,48.59084326,0,2196.6,O,HN,1.372932452,LBK,7/5/2018,2018-07-05T154500_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,151.0763306,151.6212162,0,1740.8,O,HN,0.544885634,LBK,8/5/2018,2018-08-05T003000_0004e9e500057018_2.0.wav
2,Spectrogram 1,1,151.9965608,152.1266794,0,1832.4,O,HN,0.130118652,LBK,8/5/2018,2018-08-05T003000_0004e9e500057018_2.0.wav
3,Spectrogram 1,1,152.4458384,152.6594294,0,1374.3,O,HN,0.213590995,LBK,8/5/2018,2018-08-05T003000_0004e9e500057018_2.0.wav
